Time,Heart Rate
285.178,1.38433
285.68,1.37881
286.178,1.35423
286.67,1.31463
287.16,1.263
287.651,1.2019
288.145,1.13495
288.643,1.06832
289.143,1.01062
289.639,0.970189
290.137,0.950873
290.637,0.953059
291.132,0.974448
291.62,1.01176
292.106,1.06256
292.593,1.12447
293.083,1.1936
293.575,1.26321
294.067,1.32376
294.553,1.36657
295.042,1.38784
295.541,1.38677
296.039,1.36555
296.53,1.32835
297.019,1.27837
297.509,1.2181
298.001,1.15069
298.497,1.08175
298.996,1.01969
299.491,0.973615
299.985,0.948542
300.483,0.945404
300.978,0.962523
301.465,0.996514
301.951,1.04478
302.436,1.10514
302.925,1.17434
303.415,1.24635
303.907,1.31194
304.392,1.36127
304.876,1.38926
305.371,1.39454
305.868,1.3784
306.359,1.34493
306.847,1.2977
307.335,1.23925
307.826,1.17224
308.32,1.10145
308.817,1.0347
309.312,0.981662
309.802,0.949085
310.297,0.938735
310.792,0.949777
311.28,0.978973
311.765,1.02341
312.249,1.08097
312.736,1.14906
313.225,1.22269
313.716,1.29341
314.202,1.35057
314.682,1.38704
315.17,1.40067
315.666,1.39167
316.157,1.36354
316.645,1.32035
317.132,1.26489
317.621,1.19947
318.113,1.12784
318.607,1.05681
319.102,0.996016
319.591,0.95423
320.081,0.934741
320.575,0.937586
321.065,0.960243
321.549,0.999351
322.032,1.05266
322.517,1.11809
323.004,1.19188
323.494,1.26688
323.982,1.33255
324.461,1.37922
324.941,1.40316
325.432,1.40369
325.925,1.38295
326.412,1.34538
326.898,1.29427
327.385,1.2319
327.875,1.161
328.367,1.08697
328.862,1.0186
329.352,0.966171
329.837,0.935609
330.327,0.927941
330.819,0.941882
331.303,0.973932
331.785,1.02137
332.268,1.08232
332.754,1.1542
333.242,1.23158
333.731,1.30511
334.212,1.36336
334.687,1.39953
335.17,1.41202
335.662,1.40134
336.15,1.37136
336.635,1.32617
337.12,1.26844
337.607,1.20026
338.098,1.12538
338.591,1.05099
339.083,0.987451
339.567,0.943967
340.051,0.923556
340.542,0.926087
341.028,0.948967
341.51,0.988739
341.991,1.04328
342.474,1.11078
342.961,1.18769
343.449,1.26673
343.935,1.33668
344.409,1.3869
344.883,1.41354
345.369,1.41602
345.858,1.3963
346.343,1.35902
346.826,1.30762
347.311,1.24428
347.8,1.17132
348.291,1.0938
348.783,1.02064
349.27,0.962934
349.75,0.927666
350.234,0.915968
350.723,0.926853
351.206,0.956847
351.686,1.00302
352.167,1.06363
352.651,1.13666
353.138,1.21734
353.626,1.29655
354.106,1.36187
354.575,1.40472
355.05,1.42316
355.537,1.41734
356.023,1.39059
356.505,1.34752
356.988,1.291
357.474,1.22289
357.963,1.14607
358.454,1.06695
358.944,0.995899
359.426,0.943894
359.903,0.915535
360.388,0.910984
360.873,0.928407
361.353,0.964028
361.832,1.01546
362.314,1.08122
362.799,1.15886
363.286,1.24232
363.772,1.32086
364.246,1.38162
364.712,1.41834
365.188,1.43011
365.675,1.41778
366.157,1.38569
366.638,1.33806
367.121,1.27734
367.607,1.20524
368.096,1.12529
368.587,1.04518
369.075,0.976377
369.551,0.929103
370.026,0.906122
370.511,0.907072
370.994,0.92938
371.472,0.969348
371.95,1.02502
372.432,1.09505
372.918,1.17651
373.405,1.26216
373.888,1.33987
374.357,1.39699
374.821,1.42908
375.297,1.4358
375.782,1.4187
376.263,1.38267
376.743,1.33156
377.225,1.26748
377.712,1.19208
378.201,1.10952
378.691,1.02855
379.175,0.96144
379.647,0.917496
